"description","name"
"paquete ""alsa"" (requerido)","alsa"
"sistema de conexion y manipulacion de audio en tiempo real ""jack"" (requerido)","qjackctl"
"audio workstation ""ardour""","ardour"
"secuencer de midi y audio ""rosegarden""","rosegarden"
"editor de audio ""audacity""","audacity"
"otro editor de audio ""rezound""","rezound"
"editor de partituras ""nted""","nted"
"otro editor partituras ""muse score""","mscore"
"sampler de soundfonts ""qsynth""","qsynth"
"editor de soundfonts ""swami""","swami"
"paquete de soundfonts general midi","fluid-soundfont-gm"
"plataforma para reproducir general midi ""timidity""","timidity"
"maquina de ritmos ""hydrogen""","hydrogen"
"sets de sonidos para la maquina de ritmos hydrogen","hydrogen-drumkits"
"sintetizador virtual ""zynaddsubfx""","zynaddsubfx"
"estudio virtual ""linux multimedia studio""","lmms"
"soporte de plugins vst para linux multimedia studio","lmms-vst"
"editor de partituras y tablaturas de guitarra ""tuxguitar""","tuxguitar"
"soporte de soundfonts en tuxguitar","tuxguitar-fluidsynth"
"plugins ladspa c* audio suite","caps"
"plugins ladspa tom's audio suite","tap-plugins"
"plugin ladspa de reverb estereo basada en la well-known greverb","rev-plugins"
"plugins ladspa de steve harris","swh-plugins"
"herramienta de masterizacion de grabaciones ""jamin""","jamin"
"rack de efectos en tiempo real ""jack-rack""","jack-rack"
"interface de mezcla para placas m-audio echo y rme (opcional)","alsa-tools-gui"
"plataforma de diseño de sonidos y procesamiento para musicos e ingenieros ""cecilia+csound""","cecilia"
"manual de cecilia+csound","csound-doc"
"sistema de analisis de audio ""vamp""","vamp-plugin-sdk"
"ejemplos para vamp","vamp-examples"
"afinador para instrumentos ""fmit""","fmit"
"sistema digital de dj ""mixxx""","mixxx"
